,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
221,honda amaze,Kolkata,2014,64000,Diesel,Manual,Second & Above,25.8,1498.0,98.6,5.0,3.5
224,mercedes-benz new,Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.41
227,maruti swift,Delhi,2013,47000,Diesel,Manual,First,17.8,1248.0,123.95847826488415,5.0,4.1
229,ford figo,Bangalore,2015,70436,Diesel,Manual,First,18.822213351075625,1498.0,99.0,5.279646017699115,3.6
230,tata indica,Jaipur,2007,200000,Diesel,Manual,Second & Above,17.2,1396.0,53.5,5.0,0.85
232,volkswagen polo,Mumbai,2012,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.6
233,maruti swift,Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.8
234,ford figo,Kolkata,2012,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,2.5
235,toyota innova,Kochi,2019,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.64
239,mercedes-benz new,Kochi,2015,55980,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,18.12
240,chevrolet beat,Mumbai,2013,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.65
241,hyundai i20,Kochi,2015,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.2
242,toyota innova,Coimbatore,2015,121374,Diesel,Manual,First,12.99,2494.0,100.6,7.0,14.3
243,maruti ertiga,Chennai,2013,52000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.9
244,toyota innova,Mumbai,2014,118000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,10.75
247,bmw x1,Ahmedabad,2014,82002,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,18.5
248,hyundai grand,Mumbai,2017,33000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.75
249,maruti ciaz,Chennai,2016,34000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.45
250,skoda rapid,Kolkata,2012,55000,Diesel,Manual,First,20.5,1598.0,103.6,5.0,3.5
252,volkswagen polo,Jaipur,2014,60000,Diesel,Manual,Second & Above,19.91,1498.0,103.6,5.0,3.7
256,toyota innova,Pune,2017,43000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,18.65
260,maruti swift,Pune,2012,120000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75
261,hyundai verna,Hyderabad,2008,143275,Diesel,Manual,First,22.0,1582.0,126.2,5.0,2.6
265,mercedes-benz new,Bangalore,2014,57000,Diesel,Manual,Second & Above,15.8,2148.0,170.0,5.0,18.0
266,maruti ritz,Hyderabad,2014,88500,Diesel,Manual,First,23.2,1248.0,73.94,5.0,4.35
267,hyundai creta,Bangalore,2016,28000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,13.75
269,renault duster,Delhi,2016,26000,Diesel,Manual,First,19.64,1461.0,108.45,5.0,10.0
273,toyota innova,Pune,2016,47000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,12.8
275,maruti swift,Hyderabad,2018,31025,Diesel,Manual,First,28.4,1248.0,74.0,5.0,7.15
276,mahindra scorpio,Pune,2013,105000,Diesel,Manual,Second & Above,12.05,2179.0,120.0,8.0,7.0
279,maruti swift,Jaipur,2012,73000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.35
282,audi q7,Kochi,2018,11287,Diesel,Automatic,First,12.07,2967.0,241.4,7.0,70.36
286,hyundai i20,Kolkata,2013,46000,Diesel,Manual,First,21.9,1396.0,88.8,5.0,3.11
288,volkswagen vento,Hyderabad,2011,69000,Diesel,Manual,First,20.54,1598.0,103.6,5.0,4.7
291,bmw 5,Pune,2015,64000,Diesel,Automatic,First,18.48,1995.0,177.0,5.0,28.0
296,mercedes-benz new,Kochi,2015,77771,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,18.64
298,toyota innova,Chennai,2016,48000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,20.25
299,audi a6,Kochi,2015,31652,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,26.78
300,toyota innova,Hyderabad,2010,109000,Diesel,Manual,Second & Above,12.99,2494.0,100.6,7.0,8.26
305,audi a6,Kochi,2014,61726,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,20.77
308,maruti swift,Kolkata,2011,60020,Diesel,Manual,First,17.8,1248.0,123.95847826488415,5.0,2.5
311,land rover,Delhi,2017,44000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,44.0
312,volkswagen vento,Hyderabad,2011,108626,Diesel,Manual,First,20.54,1598.0,103.6,5.0,3.65
316,tata indica,Pune,2012,91183,Diesel,Manual,First,18.0,1248.0,75.0,5.0,2.85
318,mahindra xuv500,Hyderabad,2015,88428,Diesel,Manual,First,16.0,2179.0,140.0,7.0,10.6
322,maruti swift,Kolkata,2012,48000,Diesel,Manual,First,19.3,1248.0,73.9,5.0,3.7
323,ford fiesta,Hyderabad,2009,160000,Diesel,Manual,First,17.8,1399.0,68.0,5.0,2.8
325,audi a6,Kochi,2014,51495,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,21.95
327,audi q7,Coimbatore,2017,97430,Diesel,Automatic,First,14.75,2967.0,245.0,7.0,62.67
329,hyundai i20,Pune,2012,83000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,5.5
332,maruti swift,Hyderabad,2015,76496,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6.15
340,skoda octavia,Kolkata,2013,775000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,7.5
343,maruti vitara,Chennai,2016,45000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.15
345,tata indica,Hyderabad,2014,133944,Diesel,Manual,Second & Above,18.0,1248.0,75.0,5.0,3.5
346,honda amaze,Kolkata,2013,57000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.45
348,bmw 3,Kochi,2015,30717,Diesel,Automatic,Second & Above,21.76,1995.0,190.0,5.0,25.99
349,hyundai verna,Bangalore,2012,80000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5.25
353,ford ecosport,Mumbai,2014,68000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6.75
359,maruti swift,Delhi,2013,70000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.5
361,nissan micra,Chennai,2011,83000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,2.75
362,maruti swift,Mumbai,2015,130000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,3.25
363,ford fiesta,Pune,2012,63400,Diesel,Manual,First,17.8,1399.0,67.0,5.0,3.25
366,toyota etios,Kolkata,2014,45000,Diesel,Manual,First,23.59,1364.0,67.05,5.0,3.25
372,maruti vitara,Hyderabad,2017,39000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.49
373,audi q7,Mumbai,2008,99000,Diesel,Automatic,Second & Above,12.07,2967.0,241.4,7.0,12.95
376,renault duster,Chennai,2015,93000,Diesel,Manual,Second & Above,20.45,1461.0,83.8,5.0,7.1
377,toyota corolla,Mumbai,2017,5900,Diesel,Manual,First,21.43,1364.0,87.2,5.0,16.5
378,mercedes-benz new,Chennai,2014,25000,Diesel,Manual,First,15.8,2148.0,170.0,5.0,26.0
379,maruti ritz,Hyderabad,2010,68000,Diesel,Manual,Second & Above,21.1,1248.0,73.9,5.0,3.2
381,hyundai xcent,Kochi,2015,74310,Diesel,Manual,First,24.4,1120.0,71.0,5.0,4.0
382,mercedes-benz e-class,Jaipur,2014,59364,Diesel,Automatic,First,14.21,2143.0,203.0,5.0,26.5
384,mercedes-benz e-class,Bangalore,2017,33900,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,37.0
395,maruti ritz,Coimbatore,2011,90207,Diesel,Manual,First,21.1,1248.0,73.9,5.0,3.91
396,bmw 3,Chennai,2011,89616,Diesel,Automatic,First,16.07,1995.0,181.0,5.0,11.0
399,land rover,Hyderabad,2012,56000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,30.0
404,land rover,Coimbatore,2017,34990,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,53.83
406,bmw 5,Hyderabad,2013,56000,Diesel,Automatic,First,16.73,2993.0,218.0,5.0,33.5
410,land rover,Coimbatore,2014,95649,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,29.67
411,mercedes-benz new,Jaipur,2013,35299,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,19.0
412,mahindra scorpio,Kochi,2017,28464,Diesel,Manual,First,15.4,2179.0,120.0,7.0,13.05
413,bmw 3,Mumbai,2015,41000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,25.5
429,toyota etios,Bangalore,2013,37000,Diesel,Manual,First,23.59,1364.0,67.04,5.0,5.75
435,bmw 5,Coimbatore,2011,57832,Diesel,Automatic,First,16.2,2993.0,258.0,5.0,25.82
448,tata indica,Hyderabad,2014,67000,Diesel,Manual,First,22.3,1248.0,74.0,5.0,2.5
449,mahindra xuv500,Kochi,2013,61672,Diesel,Manual,First,16.0,2179.0,140.0,7.0,7.53
454,toyota innova,Hyderabad,2015,80883,Diesel,Manual,First,12.8,2494.0,102.0,7.0,13.5
455,maruti celerio,Hyderabad,2016,80219,Diesel,Manual,First,27.62,793.0,47.0,5.0,3.5
458,bmw 3,Bangalore,2016,19235,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,36.5
461,renault duster,Hyderabad,2012,82749,Diesel,Manual,First,19.01,1461.0,108.45,5.0,5.99
462,hyundai xcent,Pune,2016,51000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,5.25
463,ford ecosport,Delhi,2014,31465,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6.5
465,hyundai grand,Kolkata,2017,14000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.6
469,toyota innova,Hyderabad,2012,162663,Diesel,Manual,First,12.99,2494.0,100.0,7.0,10.5
470,maruti ciaz,Coimbatore,2017,25142,Diesel,Manual,First,28.09,1248.0,88.5,5.0,8.26
471,toyota fortuner,Delhi,2013,69000,Diesel,Manual,First,12.55,2982.0,169.0,7.0,14.45
474,mercedes-benz new,Chennai,2014,45000,Diesel,Manual,First,15.8,2148.0,170.0,5.0,23.0
479,renault duster,Mumbai,2015,67000,Diesel,Manual,Second & Above,19.87,1461.0,83.8,5.0,7.0
480,land rover,Delhi,2015,24000,Diesel,Automatic,Second & Above,15.68,1999.0,177.0,5.0,33.5
481,ford figo,Chennai,2011,75000,Diesel,Manual,Second & Above,20.0,1399.0,68.0,5.0,2.25
482,ford endeavour,Hyderabad,2008,179000,Diesel,Automatic,Second & Above,12.8,2953.0,156.0,7.0,4.24
483,toyota fortuner,Coimbatore,2017,47198,Diesel,Manual,First,12.55,2982.0,168.5,7.0,28.42
484,volkswagen polo,Kolkata,2012,52000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.75
485,maruti ritz,Jaipur,2011,91000,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.0
486,nissan micra,Pune,2013,60000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.55
487,hyundai verna,Kolkata,2013,37873,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.8
491,hyundai creta,Bangalore,2016,32000,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,15.5
495,skoda octavia,Chennai,2006,72000,Diesel,Manual,Second & Above,18.7,1896.0,66.0,5.0,3.2
503,toyota fortuner,Delhi,2017,25000,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,32.0
504,ford ecosport,Mumbai,2014,79000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,6.25
505,maruti swift,Hyderabad,2010,86000,Diesel,Manual,Second & Above,17.8,1248.0,75.0,5.0,3.6
509,mahindra xuv500,Bangalore,2015,34000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.0
513,mahindra scorpio,Delhi,2017,30000,Diesel,Manual,First,15.4,1997.0,120.0,7.0,12.25
514,skoda rapid,Pune,2013,64186,Diesel,Manual,First,20.5,1598.0,103.5,5.0,3.76
515,renault duster,Coimbatore,2015,76427,Diesel,Manual,First,19.01,1461.0,108.45,5.0,8.58
521,land rover,Coimbatore,2017,49275,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,45.64
524,audi a6,Coimbatore,2017,41041,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,37.56
525,mercedes-benz e-class,Kochi,2009,80464,Diesel,Automatic,Second & Above,11.0,2987.0,198.5,5.0,9.29
529,toyota fortuner,Hyderabad,2010,100000,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.0
537,maruti swift,Hyderabad,2011,130002,Diesel,Manual,First,19.3,1248.0,73.9,5.0,3.85
538,ford fiesta,Hyderabad,2012,107000,Diesel,Manual,First,17.8,1399.0,67.0,5.0,3.0
540,toyota fortuner,Delhi,2012,109000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.25
542,hyundai i20,Delhi,2014,43900,Diesel,Manual,First,22.54,1396.0,88.73,5.0,6.75
546,toyota innova,Mumbai,2012,55000,Diesel,Manual,First,12.99,2494.0,100.0,7.0,9.51
547,bmw 5,Ahmedabad,2012,59900,Diesel,Automatic,Second & Above,18.48,1995.0,177.0,5.0,18.5
548,renault duster,Delhi,2015,73539,Diesel,Manual,First,19.01,1461.0,108.45,5.0,6.75
549,bmw x1,Coimbatore,2017,31645,Diesel,Automatic,First,20.68,1995.0,190.0,5.0,29.4
551,maruti ciaz,Delhi,2016,41000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,9.5
553,mahindra xuv500,Pune,2012,80000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,6.5
555,maruti ertiga,Pune,2013,105000,Diesel,Manual,Second & Above,25.47,1248.0,88.5,7.0,6.75
556,toyota etios,Chennai,2013,179000,Diesel,Manual,First,23.59,1364.0,67.04,5.0,3.8
558,skoda rapid,Hyderabad,2017,31000,Diesel,Manual,First,21.13,1498.0,108.4,5.0,10.5
559,volkswagen polo,Hyderabad,2015,50000,Diesel,Manual,First,20.14,1498.0,88.8,5.0,6.2
562,toyota innova,Ahmedabad,2016,100200,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,17.0
563,bmw 3,Bangalore,2014,47000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,25.5
564,honda jazz,Jaipur,2015,63642,Diesel,Manual,First,27.3,1498.0,98.6,5.0,5.65
565,honda amaze,Kochi,2015,62550,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.6
567,maruti swift,Coimbatore,2016,38461,Diesel,Manual,First,26.59,1248.0,74.0,5.0,7.39
572,hyundai verna,Coimbatore,2019,77240,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,8.31
574,maruti swift,Chennai,2014,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,5.25
576,audi a6,Hyderabad,2012,202082,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,12.3
578,volkswagen polo,Coimbatore,2018,33558,Diesel,Manual,First,20.14,1498.0,88.0,5.0,8.12
580,honda city,Coimbatore,2017,45366,Diesel,Manual,First,25.1,1498.0,98.6,5.0,10.88
583,bmw x1,Chennai,2016,21000,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,33.0
584,bmw x1,Mumbai,2012,15200,Diesel,Automatic,First,15.06,1995.0,177.0,5.0,13.5
585,toyota fortuner,Mumbai,2015,43690,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,17.11
587,maruti ertiga,Kolkata,2013,53073,Diesel,Manual,First,20.77,1248.0,88.76,7.0,5.95
590,renault duster,Ahmedabad,2014,55000,Diesel,Manual,First,20.45,1461.0,83.8,5.0,4.75
592,toyota fortuner,Delhi,2013,71932,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,16.5
594,maruti swift,Hyderabad,2011,81759,Diesel,Manual,First,19.3,1248.0,73.9,5.0,4.39
595,maruti swift,Kochi,2018,52010,Diesel,Manual,First,25.2,1248.0,74.0,5.0,6.2
599,toyota innova,Coimbatore,2019,40674,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,24.82
600,skoda octavia,Mumbai,2015,50000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,11.69
604,volkswagen vento,Mumbai,2016,25000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,9.45
605,mahindra xuv500,Ahmedabad,2015,73000,Diesel,Manual,First,16.0,2179.0,140.0,7.0,12.5
607,hyundai verna,Jaipur,2012,72000,Diesel,Manual,Second & Above,22.32,1582.0,126.32,5.0,5.8
608,bmw 5,Coimbatore,2016,20967,Diesel,Automatic,First,14.69,2993.0,258.0,5.0,44.56
609,mahindra scorpio,Bangalore,2015,35000,Diesel,Manual,Second & Above,15.4,2179.0,120.0,7.0,8.5
610,hyundai verna,Coimbatore,2017,38056,Diesel,Manual,First,23.9,1582.0,126.2,5.0,10.7
611,audi q7,Pune,2009,94000,Diesel,Automatic,Second & Above,12.07,2967.0,241.4,7.0,12.0
615,toyota innova,Hyderabad,2017,52000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,17.5
